SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,1,EQUITY,0,GOLDSTAR,11250,Goldstar Power,,,,5,NA,ES,SM,GOLDSTAR POWER LIMITED
NSE,E,10,EQUITY,0,ABAN,1,Aban Offshore,,,,1,NA,ES,EQ,ABAN OFFSHORE LTD.
NSE,E,100,EQUITY,0,ARE&M,1,Amara Raja Energy & Mobility,,,,5,NA,ES,EQ,AMARA RAJA ENERGY MOB LTD
NSE,E,10074,EQUITY,0,EMAMIPAP,1,Emami Paper Mills,,,,1,NA,ES,EQ,EMAMI PAPER MILLS LIMITED
NSE,E,1008,EQUITY,0,FACT,1,Fertilisers & Chemical Travancore,,,,5,NA,ES,EQ,FACT LTD
NSE,E,10097,EQUITY,0,GUJRAFFIA,1,Gujarat Raffia Industries,,,,1,NA,ES,BE,GUJARAT RAFFIA INDUST LTD
NSE,E,10099,EQUITY,0,GODREJCP,1,Godrej Consumer Products,,,,5,NA,ES,EQ,GODREJ CONSUMER PRODUCTS
NSE,E,1011,EQUITY,0,SCHAEFFLER,1,Schaeffler India,,,,5,NA,ES,EQ,SCHAEFFLER INDIA LIMITED
NSE,E,10159,EQUITY,0,ORICONENT,1,Oricon Enterprises,,,,1,NA,ES,EQ,ORICON ENTERPRISES LTD
NSE,E,10181,EQUITY,0,BALKRISHNA,1,Balkrishna Paper Mills,,,,1,NA,ES,EQ,BALKRISHNA PAPER MILLS L
NSE,E,10188,EQUITY,0,SHYAMCENT,1,Shyam Century Ferrous,,,,1,NA,ES,EQ,SHYAM CENTURY FERROUS LTD
NSE,E,10217,EQUITY,0,ADANIENSOL,1,Adani Energy Solutions,,,,5,NA,ES,EQ,ADANI ENERGY SOLUTION LTD
NSE,E,10227,EQUITY,0,MANORAMA,1,Manorama Industries,,,,5,NA,ES,EQ,MANORAMA INDUSTRIES LTD
NSE,E,1023,EQUITY,0,FEDERALBNK,1,Federal Bank,,,,1,NA,ES,EQ,FEDERAL BANK LTD
NSE,E,10238,EQUITY,0,CONFIPET,1,Confidence Petroleum,,,,1,NA,ES,EQ,CONFIDENCE PETRO IND LTD.
NSE,E,10243,EQUITY,0,SYNGENE,1,Syngene International,,,,5,NA,ES,EQ,SYNGENE INTERNATIONAL LTD
NSE,E,10253,EQUITY,0,EMKAYTOOLS,150,Emkay Tap & Cut. Tool,,,,5,NA,ES,SM,EMKAY TAP & CUT. TOOL LTD
NSE,E,10277,EQUITY,0,NGLFINE,1,NGL Fine Chem,,,,5,NA,ES,EQ,NGL FINE CHEM LIMITED
NSE,E,10282,EQUITY,0,KAYA,1,Kaya,,,,5,NA,ES,BE,KAYA LIMITED
NSE,E,10285,EQUITY,0,AYMSYNTEX,1,AYM Syntex,,,,1,NA,ES,EQ,AYM SYNTEX LIMITED
NSE,E,10296,EQUITY,0,KCK,2500,KCK INDUSTRIES LTD,,,,5,NA,ES,ST,KCK INDUSTRIES LTD
NSE,E,10297,EQUITY,0,PPL,1,Prakash Pipes,,,,5,NA,ES,EQ,PRAKASH PIPES LIMITED
NSE,E,1030,EQUITY,0,AARON,1,Aaron Industries,,,,5,NA,ES,EQ,AARON INDUSTRIES LIMITED
NSE,E,10300,EQUITY,0,RAMASTEEL,1,Rama Steel Tubes,,,,1,NA,ES,EQ,RAMA STEEL TUBES LIMITED
